"ShortName","TeamAbbreviation","GamesPlayed","Minutes","PlusMinus","OffPoss","Points","FG2M","FG2A","Fg2Pct","FG3M","FG3A","Fg3Pct","NonHeaveFg3Pct","FtPoints","PtsAssisted2s","PtsUnassisted2s","PtsAssisted3s","PtsUnassisted3s","Assisted2sPct","NonPutbacksAssisted2sPct","Assisted3sPct","FG3APct","ShotQualityAvg","EfgPct","TsPct","PtsPutbacks","Fg2aBlocked","FG2APctBlocked","Fg3aBlocked","FG3APctBlocked"
"Nunn, Gill, Kispert, Goodwin, Gibson","WAS",2,8,-8,17,9,2,6,0.3333333333333333,1,6,0.16666666666666666,0.16666666666666666,2,2,2,0,3,0.5,0.5,0,0.5,0.4579625,0.2916666666666667,0.32142857142857145,0,0,0,1,0.16666666666666666
"Wright, Kuzma, Avdija, Kispert, Gibson","WAS",3,8,-5,16,11,1,4,0.25,3,10,0.3,0.3,0,0,2,9,0,0,0,1,0.7142857142857143,0.5096999999999999,0.39285714285714285,0.39285714285714285,0,0,0,0,0
"Huff, Goodwin, Davis, Jackson, Cooks","WAS",3,8,7,18,23,7,10,0.7,1,5,0.2,0.2,6,8,6,0,3,0.5714285714285714,0.6666666666666666,0,0.3333333333333333,0.5500966666666667,0.5666666666666667,0.6388888888888888,2,0,0,0,0
"Gill, Kispert, Goodwin, Davis, Gibson","WAS",1,8,-5,16,12,3,8,0.375,0,4,0,0,6,6,0,0,0,1,1,0,0.3333333333333333,0.41740416666666663,0.25,0.4,0,2,0.25,0,0
"Wright, Nunn, Gafford, Avdija, Beal","WAS",6,8,0,13,14,7,12,0.5833333333333334,0,4,0,0,0,4,10,0,0,0.2857142857142857,0.3333333333333333,0,0.25,0.484303125,0.4375,0.4375,2,1,0.08333333333333333,0,0
"Wright, Kuzma, Hachimura, Gafford, Beal","WAS",6,8,-15,14,10,3,5,0.6,0,7,0,0,4,6,0,0,0,1,1,0,0.5833333333333334,0.5349583333333333,0.25,0.35714285714285715,0,1,0.2,1,0.14285714285714285
"Morris, Hachimura, Gafford, Kispert, Porzingis","WAS",2,8,3,13,24,6,9,0.6666666666666666,4,7,0.5714285714285714,0.5714285714285714,0,4,8,12,0,0.3333333333333333,0.4,1,0.4375,0.50751875,0.75,0.75,2,2,0.2222222222222222,0,0
"Avdija, Gill, Kispert, Goodwin, Porzingis","WAS",3,7,-3,14,10,4,7,0.5714285714285714,0,7,0,0,2,4,4,0,0,0.5,0.6666666666666666,0,0.5,0.51495,0.2857142857142857,0.3333333333333333,2,0,0,0,0
"Morris, Gafford, Gill, Kispert, Barton","WAS",1,7,8,14,28,5,8,0.625,5,7,0.7142857142857143,0.7142857142857143,3,10,0,15,0,1,1,1,0.4666666666666667,0.5703133333333333,0.8333333333333334,0.875,0,0,0,0,0
"Wright, Kuzma, Hachimura, Gafford, Goodwin","WAS",2,7,-3,16,16,1,3,0.3333333333333333,4,8,0.5,0.5,2,2,0,9,3,1,1,0.75,0.7272727272727273,0.4691444444444444,0.6363636363636364,0.6666666666666666,0,0,0,0,0
