Player1,Player2,SharedMinutes,Team,Season
Kuzma,Poole,520,WAS,2024-25
Coulibaly,Kuzma,584,WAS,2024-25
Kuzma,Sarr,487,WAS,2024-25
Carrington,Kuzma,543,WAS,2024-25
Coulibaly,Poole,1372,WAS,2024-25
Poole,Sarr,1186,WAS,2024-25
Carrington,Poole,1090,WAS,2024-25
Coulibaly,Sarr,1077,WAS,2024-25
Carrington,Coulibaly,1144,WAS,2024-25
Carrington,Sarr,1241,WAS,2024-25
George,Poole,852,WAS,2024-25
Coulibaly,George,912,WAS,2024-25
George,Sarr,777,WAS,2024-25
Carrington,George,997,WAS,2024-25
Kispert,Kuzma,366,WAS,2024-25
George,Kuzma,352,WAS,2024-25
Kuzma,Valančiūnas,348,WAS,2024-25
Carrington,Kispert,936,WAS,2024-25
George,Kispert,951,WAS,2024-25
Kispert,Valančiūnas,667,WAS,2024-25
Carrington,Valančiūnas,513,WAS,2024-25
George,Valančiūnas,617,WAS,2024-25
Kispert,Poole,603,WAS,2024-25
Poole,Valančiūnas,532,WAS,2024-25
Coulibaly,Kispert,763,WAS,2024-25
Coulibaly,Valančiūnas,542,WAS,2024-25
Champagnie,Poole,607,WAS,2024-25
Champagnie,Coulibaly,356,WAS,2024-25
Champagnie,Sarr,653,WAS,2024-25
Carrington,Champagnie,860,WAS,2024-25
Johnson,Poole,149,WAS,2024-25
Champagnie,Johnson,313,WAS,2024-25
Johnson,Sarr,278,WAS,2024-25
Carrington,Johnson,375,WAS,2024-25
Brogdon,Kispert,309,WAS,2024-25
Brogdon,Carrington,276,WAS,2024-25
Brogdon,George,224,WAS,2024-25
Brogdon,Valančiūnas,217,WAS,2024-25
Kispert,Sarr,431,WAS,2024-25
Middleton,Poole,226,WAS,2024-25
Champagnie,George,389,WAS,2024-25
Champagnie,Middleton,105,WAS,2024-25
Middleton,Sarr,250,WAS,2024-25
George,Middleton,237,WAS,2024-25
Holmes,Poole,230,WAS,2024-25
Coulibaly,Holmes,246,WAS,2024-25
Carrington,Holmes,335,WAS,2024-25
George,Holmes,256,WAS,2024-25
Coulibaly,Middleton,159,WAS,2024-25
Carrington,Middleton,132,WAS,2024-25
Champagnie,Valančiūnas,175,WAS,2024-25
Champagnie,Holmes,189,WAS,2024-25
Holmes,Kispert,314,WAS,2024-25
Holmes,Smart,135,WAS,2024-25
Champagnie,Kispert,343,WAS,2024-25
Champagnie,Smart,125,WAS,2024-25
Kispert,Smart,153,WAS,2024-25
Carrington,Smart,163,WAS,2024-25
George,Johnson,100,WAS,2024-25
Brogdon,Champagnie,162,WAS,2024-25
Brogdon,Coulibaly,267,WAS,2024-25
Brogdon,Sarr,258,WAS,2024-25
Champagnie,Jones,162,WAS,2024-25
Champagnie,Vukcevic,230,WAS,2024-25
Jones,Vukcevic,206,WAS,2024-25
Carrington,Jones,209,WAS,2024-25
Johnson,Jones,263,WAS,2024-25
Carrington,Vukcevic,293,WAS,2024-25
Johnson,Vukcevic,264,WAS,2024-25
Holmes,Middleton,45,WAS,2024-25
George,Smart,92,WAS,2024-25
Brogdon,Poole,214,WAS,2024-25
Sarr,Valančiūnas,62,WAS,2024-25
Bagley III,Butler,95,WAS,2024-25
Bagley III,Gill,69,WAS,2024-25
Bagley III,Davis,79,WAS,2024-25
Bagley III,Baldwin Jr.,35,WAS,2024-25
