Player,Team,Season,PPG,REB,AST,STL
Vasilije Micić,PHO,2024-25,0.0,0.4,0.2,0.0
Yuta Watanabe,PHO,2023-24,3.6,1.6,0.3,0.3
Anfernee Simons,POR,2022-23,21.1,2.6,4.1,0.7
Anfernee Simons,POR,2023-24,22.6,3.6,5.5,0.5
Anfernee Simons,POR,2024-25,19.3,2.7,4.8,0.9
Ashton Hagans,POR,2023-24,4.2,2.4,2.8,0.6
Bryce McGowens,POR,2024-25,1.0,0.2,0.2,0.1
Cam Reddish,POR,2022-23,11.0,2.9,1.9,1.2
Chance Comanche,POR,2022-23,7.0,3.0,0.0,0.0
Dalano Banton,POR,2023-24,16.7,4.8,3.6,0.9
Dalano Banton,POR,2024-25,8.3,2.0,2.4,0.6
Damian Lillard,POR,2022-23,32.2,4.8,7.3,0.9
Deandre Ayton,POR,2023-24,16.7,11.1,1.6,1.0
Deandre Ayton,POR,2024-25,14.4,10.2,1.6,0.8
Deni Avdija,POR,2024-25,16.9,7.3,3.9,1.0
Donovan Clingan,POR,2024-25,6.5,7.9,1.1,0.5
Drew Eubanks,POR,2022-23,6.6,5.4,1.3,0.5
Duop Reath,POR,2023-24,9.1,3.7,1.0,0.5
Duop Reath,POR,2024-25,4.2,2.0,0.6,0.3
Gary Payton II,POR,2022-23,4.1,2.6,1.5,1.1
Greg Brown III,POR,2022-23,1.8,1.2,0.2,0.3
Ibou Badji,POR,2023-24,1.5,2.3,0.6,0.1
Ish Wainright,POR,2023-24,2.9,1.3,0.0,0.3
Jabari Walker,POR,2022-23,3.9,2.3,0.6,0.2
Jabari Walker,POR,2023-24,8.9,7.1,1.0,0.6
Jabari Walker,POR,2024-25,5.2,3.5,0.6,0.6
Jamaree Bouyea,POR,2023-24,1.7,1.7,1.3,0.0
Jerami Grant,POR,2022-23,20.5,4.5,2.4,0.8
Jerami Grant,POR,2023-24,21.0,3.5,2.8,0.8
Jerami Grant,POR,2024-25,14.4,3.5,2.1,0.9
John Butler,POR,2022-23,2.4,0.9,0.6,0.4
Josh Hart,POR,2022-23,9.5,8.2,3.9,1.1
Justin Minaya,POR,2022-23,4.3,3.8,1.0,0.5
Justin Minaya,POR,2023-24,1.8,1.6,0.6,0.3
Justin Minaya,POR,2024-25,0.9,0.5,0.4,0.3
Justise Winslow,POR,2022-23,6.8,5.0,3.4,1.0
Jusuf Nurkić,POR,2022-23,13.3,9.1,2.9,0.8
Keon Johnson,POR,2022-23,4.7,1.1,1.5,0.5
Kevin Knox,POR,2022-23,8.5,3.3,0.9,0.5
Kris Murray,POR,2023-24,6.1,3.6,1.3,0.9
Kris Murray,POR,2024-25,4.2,2.6,1.0,0.5
Malcolm Brogdon,POR,2023-24,15.7,3.8,5.5,0.7
Matisse Thybulle,POR,2022-23,7.4,3.5,1.4,1.7
Matisse Thybulle,POR,2023-24,5.4,2.1,1.4,1.7
Matisse Thybulle,POR,2024-25,7.5,3.5,1.9,2.2
Moses Brown,POR,2023-24,3.4,3.9,0.3,0.2
Nassir Little,POR,2022-23,6.6,2.6,0.9,0.4
Nate Williams,POR,2022-23,10.6,3.0,2.0,0.6
Rayan Rupert,POR,2023-24,4.0,2.4,1.6,0.3
Rayan Rupert,POR,2024-25,3.0,1.3,0.5,0.3
Robert Williams,POR,2023-24,6.8,6.3,0.8,1.2
Robert Williams,POR,2024-25,5.8,5.9,1.1,0.7
Ryan Arcidiacono,POR,2022-23,2.6,1.2,2.3,0.3
Scoot Henderson,POR,2023-24,14.0,3.1,5.4,0.8
Scoot Henderson,POR,2024-25,12.7,3.0,5.1,1.0
Shaedon Sharpe,POR,2022-23,9.9,3.0,1.2,0.5
Shaedon Sharpe,POR,2023-24,15.9,5.0,2.9,0.9
Shaedon Sharpe,POR,2024-25,18.5,4.5,2.8,0.9
Shaquille Harrison,POR,2022-23,8.8,4.4,6.0,2.2
Sidy Cissoko,POR,2024-25,2.0,2.2,1.8,0.2
Skylar Mays,POR,2022-23,15.3,3.2,8.3,1.0
Skylar Mays,POR,2023-24,6.3,1.8,3.6,0.7
Taze Moore,POR,2023-24,4.5,2.0,1.3,0.5
Taze Moore,POR,2024-25,3.0,4.0,0.5,1.0
Team Totals,POR,2022-23,113.4,40.5,24.2,6.7
Team Totals,POR,2023-24,106.4,42.7,23.1,7.6
Team Totals,POR,2024-25,110.9,44.8,23.8,8.3
Toumani Camara,POR,2023-24,7.5,4.9,1.2,0.9
Toumani Camara,POR,2024-25,11.3,5.8,2.2,1.5
Trendon Watford,POR,2022-23,7.4,3.8,2.1,0.5
Alex Len,SAC,2022-23,1.7,2.3,0.5,0.2
Alex Len,SAC,2023-24,2.5,2.7,1.0,0.2
Alex Len,SAC,2024-25,1.4,1.8,0.8,0.2
Chima Moneke,SAC,2022-23,1.0,1.0,0.5,0.0
Chimezie Metu,SAC,2022-23,4.9,3.0,0.6,0.3
Chris Duarte,SAC,2023-24,3.9,1.8,0.7,0.5
Colby Jones,SAC,2023-24,2.1,1.3,0.7,0.2
Colby Jones,SAC,2024-25,1.1,1.0,0.3,0.3
Davion Mitchell,SAC,2022-23,5.6,1.3,2.3,0.6
Davion Mitchell,SAC,2023-24,5.3,1.3,1.9,0.2
De'Aaron Fox,SAC,2022-23,25.0,4.2,6.1,1.1
De'Aaron Fox,SAC,2023-24,26.6,4.6,5.6,2.0
De'Aaron Fox,SAC,2024-25,25.0,5.0,6.1,1.5
DeMar DeRozan,SAC,2024-25,22.2,3.9,4.4,0.8
Deonte Burton,SAC,2022-23,0.0,0.0,0.0,0.0
Devin Carter,SAC,2024-25,3.8,2.1,1.1,0.6
Domantas Sabonis,SAC,2022-23,19.1,12.3,7.3,0.8
Domantas Sabonis,SAC,2023-24,19.4,13.7,8.2,0.9
Domantas Sabonis,SAC,2024-25,19.1,13.9,6.0,0.7
Doug McDermott,SAC,2024-25,3.5,0.5,0.2,0.1
Filip Petrušev,SAC,2023-24,1.5,0.0,0.0,0.0
Harrison Barnes,SAC,2022-23,15.0,4.5,1.6,0.7
Harrison Barnes,SAC,2023-24,12.2,3.0,1.2,0.7
Isaac Jones,SAC,2024-25,3.4,1.4,0.3,0.1
Isaiah Crawford,SAC,2024-25,0.9,0.5,0.1,0.1
JaVale McGee,SAC,2023-24,4.0,2.7,0.4,0.3
Jae Crowder,SAC,2024-25,2.6,2.2,0.7,0.3
Jake LaRavia,SAC,2024-25,6.1,2.8,1.3,0.9
Jalen Slawson,SAC,2023-24,0.7,0.6,0.2,0.1
Jonas Valančiūnas,SAC,2024-25,8.7,7.0,1.8,0.5
Jordan Ford,SAC,2023-24,2.0,0.3,0.3,0.0
Jordan McLaughlin,SAC,2024-25,1.9,0.8,0.9,0.4
Juan Toscano-Anderson,SAC,2023-24,0.6,1.3,0.4,0.1
KZ Okpala,SAC,2022-23,1.3,1.0,0.4,0.2
Keegan Murray,SAC,2022-23,12.2,4.6,1.2,0.8
Keegan Murray,SAC,2023-24,15.2,5.5,1.7,1.0
Keegan Murray,SAC,2024-25,12.4,6.7,1.4,0.8
Keon Ellis,SAC,2022-23,1.5,0.5,0.4,0.3
Keon Ellis,SAC,2023-24,5.4,2.2,1.5,0.9
Keon Ellis,SAC,2024-25,8.3,2.7,1.5,1.5
Kessler Edwards,SAC,2022-23,3.9,2.1,1.0,0.5
Kessler Edwards,SAC,2023-24,1.7,0.8,0.3,0.2
Kevin Huerter,SAC,2022-23,15.2,3.3,2.9,1.1
Kevin Huerter,SAC,2023-24,10.2,3.5,2.6,0.7
Kevin Huerter,SAC,2024-25,7.9,2.8,1.7,0.8
Malik Monk,SAC,2022-23,13.5,2.6,3.9,0.6
Malik Monk,SAC,2023-24,15.4,2.9,5.1,0.6
Malik Monk,SAC,2024-25,17.2,3.8,5.6,0.9
Markelle Fultz,SAC,2024-25,2.9,1.0,1.3,0.5
Mason Jones,SAC,2023-24,1.4,1.0,1.0,0.2
Mason Jones,SAC,2024-25,2.3,0.9,1.1,0.0
Matthew Dellavedova,SAC,2022-23,1.5,0.4,1.3,0.2
Neemias Queta,SAC,2022-23,2.4,2.2,0.2,0.0
Orlando Robinson,SAC,2024-25,2.1,1.6,1.0,0.3
PJ Dozier,SAC,2022-23,1.4,0.9,0.6,0.4
Richaun Holmes,SAC,2022-23,3.1,1.9,0.2,0.1
Sasha Vezenkov,SAC,2023-24,5.4,2.3,0.5,0.5
Skal Labissière,SAC,2024-25,1.3,0.8,0.3,0.0
Team Totals,SAC,2022-23,120.7,42.5,27.3,7.0
Team Totals,SAC,2023-24,116.6,44.0,28.3,7.6
Team Totals,SAC,2024-25,115.7,44.2,26.5,7.6
Terence Davis,SAC,2022-23,6.7,2.2,1.0,0.7
Terence Davis,SAC,2024-25,0.0,1.0,1.0,0.0
Terry Taylor,SAC,2024-25,0.0,0.3,0.7,0.0
Trey Lyles,SAC,2022-23,7.6,4.1,0.9,0.4
Trey Lyles,SAC,2023-24,7.2,4.4,1.2,0.3
Trey Lyles,SAC,2024-25,6.5,4.6,1.2,0.6
Zach LaVine,SAC,2024-25,22.4,3.5,3.8,0.6
Alize Johnson,SAS,2022-23,1.8,2.5,0.3,0.3
Bismack Biyombo,SAS,2024-25,5.1,5.6,1.1,0.6
Blake Wesley,SAS,2022-23,5.0,2.2,2.6,0.7
Blake Wesley,SAS,2023-24,4.4,1.5,2.7,0.5
Blake Wesley,SAS,2024-25,3.7,1.1,2.0,0.6
Cedi Osman,SAS,2023-24,6.8,2.5,1.7,0.5
Charles Bassey,SAS,2022-23,5.7,5.5,1.4,0.5
Charles Bassey,SAS,2023-24,3.3,4.0,1.1,0.4
Charles Bassey,SAS,2024-25,4.4,4.2,0.5,0.4
Chris Paul,SAS,2024-25,8.8,3.6,7.4,1.3
David Duke Jr.,SAS,2023-24,6.5,2.5,1.3,0.5
David Duke Jr.,SAS,2024-25,2.7,0.8,0.7,0.2
De'Aaron Fox,SAS,2024-25,19.7,4.3,6.8,1.5
Devin Vassell,SAS,2022-23,18.5,3.9,3.6,1.1
Devin Vassell,SAS,2023-24,19.5,3.8,4.1,1.1
Devin Vassell,SAS,2024-25,16.3,4.0,2.9,1.3
Devonte' Graham,SAS,2022-23,13.0,2.5,4.0,0.8
Devonte' Graham,SAS,2023-24,5.0,1.6,2.1,0.4
Dominick Barlow,SAS,2022-23,3.9,3.6,0.9,0.4
Dominick Barlow,SAS,2023-24,4.4,3.4,1.1,0.4
Doug McDermott,SAS,2022-23,10.2,2.2,1.4,0.2
Doug McDermott,SAS,2023-24,6.0,1.0,1.2,0.2
Gorgui Dieng,SAS,2022-23,3.9,3.5,1.7,0.1
Harrison Barnes,SAS,2024-25,12.3,3.8,1.7,0.5
Harrison Ingram,SAS,2024-25,0.8,1.8,0.6,0.6
Isaiah Roby,SAS,2022-23,4.1,2.5,0.9,0.4
Jakob Poeltl,SAS,2022-23,12.1,9.0,3.1,0.8
Jamaree Bouyea,SAS,2023-24,3.7,3.0,1.0,0.3
Jeremy Sochan,SAS,2022-23,11.0,5.3,2.5,0.8
Jeremy Sochan,SAS,2023-24,11.6,6.4,3.4,0.8
Jeremy Sochan,SAS,2024-25,11.4,6.5,2.4,0.8
Jordan Hall,SAS,2022-23,3.1,1.3,1.2,0.1
Jordan McLaughlin,SAS,2024-25,2.5,0.5,1.5,0.3
Josh Richardson,SAS,2022-23,11.5,2.8,3.3,1.0
Joshua Primo,SAS,2022-23,7.0,3.3,4.5,0.3
Julian Champagnie,SAS,2022-23,11.0,4.0,0.7,0.3
Julian Champagnie,SAS,2023-24,6.8,2.8,1.4,0.6
Julian Champagnie,SAS,2024-25,9.9,3.9,1.4,0.7
Keita Bates-Diop,SAS,2022-23,9.7,3.7,1.5,0.7
Keldon Johnson,SAS,2022-23,22.0,5.0,2.9,0.7
Keldon Johnson,SAS,2023-24,15.7,5.5,2.8,0.7
Keldon Johnson,SAS,2024-25,12.7,4.8,1.6,0.6
Malaki Branham,SAS,2022-23,10.2,2.7,1.9,0.5
Malaki Branham,SAS,2023-24,9.2,2.0,2.1,0.4
Malaki Branham,SAS,2024-25,5.0,1.1,0.8,0.2
Mamadi Diakite,SAS,2023-24,4.0,1.0,0.7,0.0
RaiQuan Gray,SAS,2023-24,7.7,2.3,2.0,0.3
Riley Minix,SAS,2024-25,0.0,2.0,0.0,0.0
Romeo Langford,SAS,2022-23,6.9,2.7,1.2,0.6
Sandro Mamukelashvili,SAS,2022-23,10.8,6.8,2.4,0.5
Sandro Mamukelashvili,SAS,2023-24,4.1,3.2,1.1,0.2
Sandro Mamukelashvili,SAS,2024-25,6.3,3.1,0.8,0.4
Sidy Cissoko,SAS,2023-24,3.8,1.8,0.8,0.6
Sidy Cissoko,SAS,2024-25,1.3,0.6,0.4,0.1
Stanley Johnson,SAS,2022-23,5.8,3.2,2.2,0.5
Stephon Castle,SAS,2024-25,14.7,3.7,4.1,0.9
Team Totals,SAS,2022-23,113.0,43.7,27.2,7.0
Team Totals,SAS,2023-24,112.1,44.2,29.9,7.1
Team Totals,SAS,2024-25,113.9,43.7,28.6,8.2
Tre Jones,SAS,2022-23,12.9,3.6,6.6,1.3
Tre Jones,SAS,2023-24,10.0,3.8,6.2,1.0
Tre Jones,SAS,2024-25,4.4,2.1,3.7,0.6
Victor Wembanyama,SAS,2023-24,21.4,10.6,3.9,1.2
Victor Wembanyama,SAS,2024-25,24.3,11.0,3.7,1.1
Zach Collins,SAS,2022-23,11.6,6.4,2.9,0.6
Zach Collins,SAS,2023-24,11.2,5.4,2.8,0.5
Zach Collins,SAS,2024-25,4.6,2.8,1.4,0.4
A.J. Lawson,TOR,2024-25,9.1,3.3,1.2,0.5
Bruce Brown,TOR,2023-24,9.6,3.8,2.7,0.7
Bruce Brown,TOR,2024-25,8.4,3.8,1.6,0.9
Bruno Fernando,TOR,2024-25,3.4,3.0,1.1,0.2
Chris Boucher,TOR,2022-23,9.4,5.5,0.4,0.6
Chris Boucher,TOR,2023-24,6.4,4.1,0.5,0.3
Chris Boucher,TOR,2024-25,10.0,4.5,0.7,0.5
Christian Koloko,TOR,2022-23,3.1,2.9,0.5,0.4
Cole Swider,TOR,2024-25,7.4,3.1,0.3,0.5
Colin Castleton,TOR,2024-25,7.2,6.9,1.6,0.5
D.J. Carton,TOR,2023-24,2.8,1.0,0.8,0.3
D.J. Carton,TOR,2024-25,0.8,1.0,0.8,0.5
Dalano Banton,TOR,2022-23,4.6,1.5,1.2,0.4
Davion Mitchell,TOR,2024-25,6.3,1.9,4.6,0.7
Dennis Schröder,TOR,2023-24,13.7,2.7,6.1,0.9
Fred VanVleet,TOR,2022-23,19.3,4.1,7.2,1.8
Garrett Temple,TOR,2023-24,3.3,1.7,1.0,0.4
Garrett Temple,TOR,2024-25,1.9,1.0,1.1,0.6
Gary Trent Jr.,TOR,2022-23,17.4,2.6,1.6,1.6
Gary Trent Jr.,TOR,2023-24,13.7,2.6,1.7,1.1
Gradey Dick,TOR,2023-24,8.5,2.2,1.1,0.6
Gradey Dick,TOR,2024-25,14.4,3.6,1.8,0.9
Immanuel Quickley,TOR,2023-24,18.6,4.8,6.8,0.9
Immanuel Quickley,TOR,2024-25,17.1,3.5,5.8,0.7
Ja'Kobe Walter,TOR,2024-25,8.6,3.1,1.6,0.8
Jahmi'us Ramsey,TOR,2023-24,6.7,3.1,1.1,1.0
Jakob Poeltl,TOR,2022-23,13.1,9.1,2.2,1.2
Jakob Poeltl,TOR,2023-24,11.1,8.6,2.5,0.7
Jakob Poeltl,TOR,2024-25,14.5,9.6,2.8,1.2
Jalen McDaniels,TOR,2023-24,3.4,1.6,0.7,0.4
Jamal Shead,TOR,2024-25,7.1,1.5,4.2,0.8
Jamison Battle,TOR,2024-25,7.1,2.7,0.9,0.3
Jared Rhoden,TOR,2024-25,11.4,3.8,1.4,0.9
Javon Freeman-Liberty,TOR,2023-24,7.0,3.2,1.8,0.5
Jeff Dowtin Jr.,TOR,2022-23,2.4,0.9,1.2,0.4
Joe Wieskamp,TOR,2022-23,1.0,0.4,0.3,0.0
Jonathan Mogbo,TOR,2024-25,6.2,4.9,2.3,0.9
Jontay Porter,TOR,2023-24,4.4,3.2,2.3,0.8
Jordan Nwora,TOR,2023-24,7.9,3.4,1.3,0.6
Juancho Hernangómez,TOR,2022-23,2.9,2.9,0.6,0.4
Justin Champagnie,TOR,2022-23,2.0,1.3,0.3,0.0
Kelly Olynyk,TOR,2023-24,12.7,5.6,4.6,1.3
Kelly Olynyk,TOR,2024-25,7.1,3.7,2.3,0.7
Khem Birch,TOR,2022-23,2.2,1.3,0.4,0.3
Kira Lewis Jr.,TOR,2023-24,0.0,0.0,0.0,0.0
Kobi Simmons,TOR,2023-24,5.0,1.8,3.0,1.5
Malachi Flynn,TOR,2022-23,4.6,1.4,1.3,0.4
Malachi Flynn,TOR,2023-24,5.1,2.1,2.4,0.6
Malik Williams,TOR,2023-24,2.7,5.4,0.3,0.4
Markquis Nowell,TOR,2023-24,2.0,2.0,2.0,1.0
Mouhamadou Gueye,TOR,2023-24,2.4,2.1,0.5,0.3
OG Anunoby,TOR,2022-23,16.8,5.0,2.0,1.9
OG Anunoby,TOR,2023-24,15.1,3.9,2.7,1.0
Ochai Agbaji,TOR,2023-24,6.7,3.3,1.3,0.7
Ochai Agbaji,TOR,2024-25,10.4,3.8,1.5,0.9
Orlando Robinson,TOR,2024-25,8.1,5.9,1.9,0.4
Otto Porter Jr.,TOR,2022-23,5.5,2.4,1.0,1.4
Otto Porter Jr.,TOR,2023-24,2.6,1.9,0.5,0.3
Pascal Siakam,TOR,2022-23,24.2,7.8,5.8,0.9
Pascal Siakam,TOR,2023-24,22.2,6.3,4.9,0.8
Precious Achiuwa,TOR,2022-23,9.2,6.0,0.9,0.6
Precious Achiuwa,TOR,2023-24,7.7,5.4,1.8,0.6
RJ Barrett,TOR,2023-24,21.8,6.4,4.1,0.6
RJ Barrett,TOR,2024-25,21.1,6.3,5.4,0.8
Ron Harper Jr.,TOR,2022-23,2.2,0.8,0.4,0.0
Ron Harper Jr.,TOR,2023-24,0.0,0.0,1.0,0.0
Scottie Barnes,TOR,2022-23,15.3,6.6,4.8,1.1
Scottie Barnes,TOR,2023-24,19.9,8.2,6.1,1.3
Scottie Barnes,TOR,2024-25,19.3,7.7,5.8,1.4
Team Totals,TOR,2022-23,112.9,43.0,23.9,9.4
Team Totals,TOR,2023-24,112.4,42.7,28.5,7.7
Team Totals,TOR,2024-25,110.9,45.1,28.5,8.1
Thaddeus Young,TOR,2022-23,4.4,3.1,1.4,1.0
Thaddeus Young,TOR,2023-24,5.0,3.3,2.2,0.8
Ulrich Chomche,TOR,2024-25,0.7,1.1,0.3,0.0
Will Barton,TOR,2022-23,4.5,1.6,1.1,0.7
Brice Sensabaugh,UTA,2023-24,7.5,3.2,1.7,0.4
Brice Sensabaugh,UTA,2024-25,10.9,3.0,1.5,0.6
Cody Williams,UTA,2024-25,4.6,2.3,1.2,0.5
Collin Sexton,UTA,2022-23,14.3,2.2,2.9,0.6
Collin Sexton,UTA,2023-24,18.7,2.6,4.9,0.8
Collin Sexton,UTA,2024-25,18.4,2.7,4.2,0.7
Damian Jones,UTA,2022-23,4.6,3.5,0.6,0.3
Darius Bazley,UTA,2023-24,8.0,4.5,0.8,1.0
Drew Eubanks,UTA,2024-25,5.8,4.5,1.2,0.3
Elijah Harkless,UTA,2024-25,3.2,2.1,0.8,1.0
Frank Jackson,UTA,2022-23,0.0,2.0,1.0,0.0
Isaiah Collier,UTA,2024-25,8.7,3.3,6.3,0.9
Jaden Springer,UTA,2024-25,3.8,2.0,1.4,0.7
Jarred Vanderbilt,UTA,2022-23,8.3,7.9,2.7,1.0
Jarrell Brantley,UTA,2022-23,5.5,1.5,0.8,0.0
Jason Preston,UTA,2023-24,1.7,2.4,2.3,0.3
John Collins,UTA,2023-24,15.1,8.5,1.1,0.6
John Collins,UTA,2024-25,19.0,8.2,2.0,1.0
Johnny Juzang,UTA,2022-23,4.8,2.2,0.4,0.2
Johnny Juzang,UTA,2023-24,7.2,1.8,1.2,0.2
Johnny Juzang,UTA,2024-25,8.9,2.9,1.1,0.6
Jordan Clarkson,UTA,2022-23,20.8,4.0,4.4,0.5
Jordan Clarkson,UTA,2023-24,17.1,3.4,5.0,0.6
Jordan Clarkson,UTA,2024-25,16.2,3.2,3.7,0.8
Juan Toscano-Anderson,UTA,2022-23,3.4,2.9,1.8,0.3
KJ Martin,UTA,2024-25,6.3,2.8,1.5,0.3
Kelly Olynyk,UTA,2022-23,12.5,6.2,3.7,0.9
Kelly Olynyk,UTA,2023-24,8.1,5.1,4.4,0.7
Kenneth Lofton Jr.,UTA,2023-24,13.8,5.0,4.8,0.8
Keyonte George,UTA,2023-24,13.0,2.8,4.4,0.5
Keyonte George,UTA,2024-25,16.8,3.8,5.6,0.7
Kira Lewis Jr.,UTA,2023-24,3.8,1.0,1.6,0.3
Kris Dunn,UTA,2022-23,13.2,4.5,5.6,1.1
Kris Dunn,UTA,2023-24,5.4,2.9,3.8,1.0
Kyle Filipowski,UTA,2024-25,9.6,6.1,1.9,0.7
Lauri Markkanen,UTA,2022-23,25.6,8.6,1.9,0.6
Lauri Markkanen,UTA,2023-24,23.2,8.2,2.0,0.9
Lauri Markkanen,UTA,2024-25,19.0,5.9,1.5,0.7
Leandro Bolmaro,UTA,2022-23,0.4,0.5,0.5,0.2
Luka Šamanić,UTA,2022-23,9.9,4.3,2.1,0.9
Luka Šamanić,UTA,2023-24,4.1,2.4,0.4,0.1
Malik Beasley,UTA,2022-23,13.4,3.6,1.7,0.8
Micah Potter,UTA,2022-23,3.4,2.3,0.6,0.1
Micah Potter,UTA,2023-24,3.3,2.7,0.4,0.3
Micah Potter,UTA,2024-25,4.3,4.3,0.8,0.4
Mike Conley,UTA,2022-23,10.7,2.5,7.7,1.0
Nickeil Alexander-Walker,UTA,2022-23,6.3,1.6,2.1,0.7
Ochai Agbaji,UTA,2022-23,7.9,2.1,1.1,0.3
Ochai Agbaji,UTA,2023-24,5.4,2.5,0.9,0.5
Omer Yurtseven,UTA,2023-24,4.6,4.3,0.6,0.2
Oscar Tshiebwe,UTA,2024-25,7.6,8.7,0.6,0.9
Patty Mills,UTA,2024-25,4.4,1.2,1.2,0.7
Rudy Gay,UTA,2022-23,5.2,2.9,1.0,0.3
Simone Fontecchio,UTA,2022-23,6.3,1.7,0.8,0.3
Simone Fontecchio,UTA,2023-24,8.9,3.5,1.5,0.6
Svi Mykhailiuk,UTA,2024-25,8.8,2.4,2.0,0.5
Talen Horton-Tucker,UTA,2022-23,10.7,3.2,3.8,0.6
Talen Horton-Tucker,UTA,2023-24,10.1,2.4,3.5,0.9
Taylor Hendricks,UTA,2023-24,7.3,4.6,0.8,0.7
Taylor Hendricks,UTA,2024-25,4.7,5.0,0.7,1.7
Team Totals,UTA,2022-23,117.1,45.9,26.0,6.1
Team Totals,UTA,2023-24,115.7,45.5,27.2,6.5
Team Totals,UTA,2024-25,111.9,45.4,25.5,6.8
Udoka Azubuike,UTA,2022-23,3.5,3.3,0.3,0.2
Walker Kessler,UTA,2022-23,9.2,8.4,0.9,0.4
Walker Kessler,UTA,2023-24,8.1,7.5,0.9,0.5
Walker Kessler,UTA,2024-25,11.1,12.2,1.7,0.6
AJ Johnson,WAS,2024-25,9.1,2.4,3.1,0.5
Alex Sarr,WAS,2024-25,13.0,6.5,2.4,0.7
Anthony Gill,WAS,2022-23,3.3,1.7,0.6,0.1
Anthony Gill,WAS,2023-24,3.8,1.9,0.7,0.3
Anthony Gill,WAS,2024-25,2.5,1.3,0.3,0.2
Bilal Coulibaly,WAS,2023-24,8.4,4.1,1.7,0.9
Bilal Coulibaly,WAS,2024-25,12.3,5.0,3.4,1.3
Bradley Beal,WAS,2022-23,23.2,3.9,5.4,0.9
Bub Carrington,WAS,2024-25,9.8,4.2,4.4,0.7
Colby Jones,WAS,2024-25,8.7,4.3,2.5,1.3
Corey Kispert,WAS,2022-23,11.1,2.8,1.2,0.4
Corey Kispert,WAS,2023-24,13.4,2.8,2.0,0.5
Corey Kispert,WAS,2024-25,11.6,3.0,1.7,0.4
Daniel Gafford,WAS,2022-23,9.0,5.6,1.1,0.4
Daniel Gafford,WAS,2023-24,10.9,8.0,1.5,1.0
Danilo Gallinari,WAS,2023-24,7.0,2.9,1.2,0.2
Delon Wright,WAS,2022-23,7.4,3.6,3.9,1.8
Delon Wright,WAS,2023-24,4.1,1.8,2.5,1.1
Deni Avdija,WAS,2022-23,9.2,6.4,2.8,0.9
Deni Avdija,WAS,2023-24,14.7,7.2,3.8,0.8
Devon Dotson,WAS,2022-23,0.5,1.7,1.3,0.8
Eugene Omoruyi,WAS,2023-24,4.8,2.0,0.8,0.6
Hamidou Diallo,WAS,2023-24,1.0,1.0,0.5,1.0
Isaiah Todd,WAS,2022-23,1.5,2.0,0.7,0.2
JT Thor,WAS,2024-25,3.9,3.8,0.5,0.5
Jalen McDaniels,WAS,2024-25,0.0,0.0,0.3,0.3
Jamaree Bouyea,WAS,2022-23,0.0,1.0,0.0,0.0
Jared Butler,WAS,2023-24,6.3,1.5,3.2,0.7
Jared Butler,WAS,2024-25,6.9,1.3,2.6,0.4
Jay Huff,WAS,2022-23,7.3,3.0,1.4,0.4
Jaylen Martin,WAS,2024-25,5.8,3.4,1.3,0.7
Johnny Davis,WAS,2022-23,5.8,2.3,1.0,0.4
Johnny Davis,WAS,2023-24,3.0,1.4,0.6,0.4
Johnny Davis,WAS,2024-25,2.4,1.1,0.3,0.4
Jonas Valančiūnas,WAS,2024-25,11.5,8.2,2.2,0.4
Jordan Goodwin,WAS,2022-23,6.6,3.3,2.7,0.9
Jordan Poole,WAS,2023-24,17.4,2.7,4.4,1.1
Jordan Poole,WAS,2024-25,20.5,3.0,4.5,1.3
Jordan Schakel,WAS,2022-23,1.5,0.0,0.5,0.5
Jules Bernard,WAS,2023-24,3.9,1.4,0.8,0.2
Justin Champagnie,WAS,2023-24,5.9,3.5,1.3,0.7
Justin Champagnie,WAS,2024-25,8.8,5.7,1.0,1.0
Kendrick Nunn,WAS,2022-23,7.5,1.7,1.8,0.5
Khris Middleton,WAS,2024-25,10.7,3.7,3.4,1.3
Kristaps Porziņģis,WAS,2022-23,23.2,8.4,2.7,0.9
Kyle Kuzma,WAS,2022-23,21.2,7.2,3.7,0.6
Kyle Kuzma,WAS,2023-24,22.2,6.6,4.2,0.5
Kyle Kuzma,WAS,2024-25,15.2,5.8,2.5,0.6
Kyshawn George,WAS,2024-25,8.7,4.2,2.5,1.0
Landry Shamet,WAS,2023-24,7.1,1.3,1.2,0.5
Malcolm Brogdon,WAS,2024-25,12.7,3.8,4.1,0.5
Marcus Smart,WAS,2024-25,9.3,1.9,2.5,1.1
Marvin Bagley III,WAS,2023-24,13.3,8.1,1.2,0.6
Marvin Bagley III,WAS,2024-25,4.9,2.9,0.4,0.4
Mike Muscala,WAS,2023-24,4.0,3.1,0.9,0.2
Monte Morris,WAS,2022-23,10.3,3.4,5.3,0.7
Patrick Baldwin Jr.,WAS,2023-24,4.4,3.2,0.8,0.5
Patrick Baldwin Jr.,WAS,2024-25,2.1,1.0,0.1,0.1
Quenton Jackson,WAS,2022-23,6.2,0.9,1.7,0.4
Richaun Holmes,WAS,2023-24,7.1,6.1,0.6,0.5
Richaun Holmes,WAS,2024-25,7.4,5.7,1.4,0.3
Rui Hachimura,WAS,2022-23,13.0,4.3,1.2,0.4
Ryan Rollins,WAS,2023-24,4.1,1.1,1.1,0.8
Taj Gibson,WAS,2022-23,3.4,1.9,0.7,0.3
Team Totals,WAS,2022-23,113.2,43.6,25.4,6.8
Team Totals,WAS,2023-24,113.7,41.1,27.9,7.6
Team Totals,WAS,2024-25,108.0,43.7,25.1,7.6
