LastName;PersonalMWDT;PPG;REB;AST;STL;LagPair;MWDT_squared
Lawson;1168;9,1;3,3;1,2;0,5;2023-24 → 2024-25;1364224
Prosper;1264;3,9;2,4;0,8;0,5;2023-24 → 2024-25;1597696
Dennis;116;2,7;1,1;1,3;0,6;2023-24 → 2024-25;13456
Strus;8936;9,4;4,3;3,2;0,5;2023-24 → 2024-25;79852096
Garland;7620;20,6;2,9;6,7;1,2;2023-24 → 2024-25;58064400
Wade;4428;5,4;4,2;1,3;0,7;2023-24 → 2024-25;19607184
Okoro;7532;6,1;2,4;1,2;0,6;2023-24 → 2024-25;56731024
Merrill;4276;7,2;2,2;1,5;0,7;2023-24 → 2024-25;18284176
Bates;536;3,7;0,7;0,8;0,1;2023-24 → 2024-25;287296
Jerome;60;12,5;2,5;3,4;1,1;2023-24 → 2024-25;3600
Caruso;8124;7,1;2,9;2,5;1,6;2023-24 → 2024-25;65999376
Dosunmu;8816;12,3;3,5;4,5;0,9;2023-24 → 2024-25;77721856
DeRozan;11948;22,2;3,9;4,4;0,8;2023-24 → 2024-25;142754704
Drummond;5400;7,3;7,8;0,9;1;2023-24 → 2024-25;29160000
Terry;2708;4,5;1,7;1,3;0,6;2023-24 → 2024-25;7333264
Phillips;1268;4,6;2,1;0,5;0,5;2023-24 → 2024-25;1607824
Taylor;740;0;0,3;0,7;0;2023-24 → 2024-25;547600
Sanogo;260;2;1,5;0,3;0;2023-24 → 2024-25;67600
McGowens;3500;1;0,2;0,2;0,1;2023-24 → 2024-25;12250000
Tatum;10568;26,8;8,7;6;1,1;2023-24 → 2024-25;111682624
Horford;6956;9;6,2;2,1;0,6;2023-24 → 2024-25;48385936
Pritchard;7292;14,3;3,8;3,5;0,9;2023-24 → 2024-25;53173264
Hauser;6940;8,5;3,2;0,9;0,6;2023-24 → 2024-25;48163600
Kornet;3948;6;5,3;1,6;0,5;2023-24 → 2024-25;15586704
Queta;1328;5;3,8;0,7;0,3;2023-24 → 2024-25;1763584
Mykhailiuk;1652;8,8;2,4;2;0,5;2023-24 → 2024-25;2729104
Brissett;2524;8,7;3,7;0,7;0,7;2023-24 → 2024-25;6370576
Walsh;336;1,6;1,3;0,4;0,2;2023-24 → 2024-25;112896
Davison;156;2,1;0,8;0,8;0,3;2023-24 → 2024-25;24336
Peterson;92;2,2;1,6;0,5;0,2;2023-24 → 2024-25;8464
Claxton;8412;10,3;7,4;2,2;0,9;2023-24 → 2024-25;70761744
Watford;3272;10,2;3,6;2,6;0,6;2023-24 → 2024-25;10705984
Clowney;1436;9,1;3,9;0,9;0,5;2023-24 → 2024-25;2062096
Whitehead;84;5,7;1,5;0,6;0,3;2023-24 → 2024-25;7056
Capela;7528;8,9;8,5;1,1;0,6;2023-24 → 2024-25;56670784
Okongwu;5628;13,4;8,9;2,3;0,9;2023-24 → 2024-25;31674384
Mathews;3980;7,5;1,9;1,3;0,6;2023-24 → 2024-25;15840400
Fernando;2716;3,4;3;1,1;0,2;2023-24 → 2024-25;7376656
Bufkin;772;5,3;2,1;1,7;0,3;2023-24 → 2024-25;595984
