Player1,Player2,SharedMinutes,Team,Season
Davis,Omoruyi,176,WAS,2023-24
Coulibaly,Omoruyi,152,WAS,2023-24
Coulibaly,Davis,110,WAS,2023-24
Jones,Shamet,255,WAS,2023-24
Kuzma,Shamet,302,WAS,2023-24
Baldwin Jr.,Wright,52,WAS,2023-24
Avdija,Baldwin Jr.,216,WAS,2023-24
Baldwin Jr.,Kispert,276,WAS,2023-24
Baldwin Jr.,Coulibaly,100,WAS,2023-24
Gallinari,Kuzma,129,WAS,2023-24
Gallinari,Poole,179,WAS,2023-24
Davis,Holmes,98,WAS,2023-24
Baldwin Jr.,Holmes,60,WAS,2023-24
Davis,Poole,289,WAS,2023-24
Baldwin Jr.,Poole,184,WAS,2023-24
Davis,Kispert,317,WAS,2023-24
Baldwin Jr.,Davis,190,WAS,2023-24
Gallinari,Muscala,46,WAS,2023-24
Poole,Shamet,264,WAS,2023-24
Gill,Rollins,44,WAS,2023-24
Omoruyi,Rollins,43,WAS,2023-24
Davis,Rollins,38,WAS,2023-24
Coulibaly,Rollins,63,WAS,2023-24
Avdija,Gill,184,WAS,2023-24
Avdija,Davis,245,WAS,2023-24
Gill,Kispert,243,WAS,2023-24
Baldwin Jr.,Gill,156,WAS,2023-24
Gafford,Shamet,127,WAS,2023-24
Muscala,Shamet,85,WAS,2023-24
Gill,Poole,189,WAS,2023-24
Poole,Vukcevic,89,WAS,2023-24
Avdija,Vukcevic,108,WAS,2023-24
Gill,Vukcevic,29,WAS,2023-24
Kispert,Vukcevic,125,WAS,2023-24
Davis,Vukcevic,48,WAS,2023-24
Coulibaly,Holmes,71,WAS,2023-24
Avdija,Butler,213,WAS,2023-24
Butler,Kispert,282,WAS,2023-24
Butler,Gallinari,30,WAS,2023-24
Kuzma,Wright,126,WAS,2023-24
Gallinari,Wright,108,WAS,2023-24
Holmes,Jones,70,WAS,2023-24
Baldwin Jr.,Vukcevic,49,WAS,2023-24
Gill,Kuzma,60,WAS,2023-24
Gallinari,Jones,66,WAS,2023-24
Butler,Kuzma,104,WAS,2023-24
Davis,Kuzma,91,WAS,2023-24
Bagley III,Butler,76,WAS,2023-24
Bagley III,Davis,71,WAS,2023-24
Butler,Poole,160,WAS,2023-24
Champagnie,Gill,82,WAS,2023-24
Bernard,Gill,70,WAS,2023-24
Champagnie,Davis,69,WAS,2023-24
Baldwin Jr.,Champagnie,115,WAS,2023-24
Bernard,Champagnie,77,WAS,2023-24
Bernard,Davis,66,WAS,2023-24
Baldwin Jr.,Bernard,82,WAS,2023-24
Omoruyi,Poole,125,WAS,2023-24
Avdija,Omoruyi,127,WAS,2023-24
Kispert,Omoruyi,182,WAS,2023-24
Jones,Omoruyi,33,WAS,2023-24
Kuzma,Omoruyi,49,WAS,2023-24
Gill,Muscala,29,WAS,2023-24
Champagnie,Holmes,42,WAS,2023-24
Champagnie,Poole,85,WAS,2023-24
Champagnie,Kispert,102,WAS,2023-24
Poole,Wright,73,WAS,2023-24
Davis,Gallinari,54,WAS,2023-24
Bagley III,Baldwin Jr.,48,WAS,2023-24
Omoruyi,Wright,33,WAS,2023-24
Davis,Wright,34,WAS,2023-24
Omoruyi,Shamet,75,WAS,2023-24
Davis,Shamet,83,WAS,2023-24
Baldwin Jr.,Butler,207,WAS,2023-24
Butler,Vukcevic,60,WAS,2023-24
Butler,Rollins,17,WAS,2023-24
Baldwin Jr.,Omoruyi,92,WAS,2023-24
Baldwin Jr.,Rollins,24,WAS,2023-24
Gafford,Wright,53,WAS,2023-24
Jones,Wright,17,WAS,2023-24
Butler,Champagnie,148,WAS,2023-24
Bernard,Butler,97,WAS,2023-24
Butler,Holmes,70,WAS,2023-24
Gallinari,Omoruyi,8,WAS,2023-24
Bernard,Kispert,32,WAS,2023-24
Baldwin Jr.,Shamet,32,WAS,2023-24
Butler,Muscala,32,WAS,2023-24
Baldwin Jr.,Muscala,7,WAS,2023-24
Holmes,Shamet,36,WAS,2023-24
Bernard,Omoruyi,53,WAS,2023-24
Champagnie,Omoruyi,70,WAS,2023-24
Bernard,Coulibaly,14,WAS,2023-24
Avdija,Champagnie,48,WAS,2023-24
Champagnie,Kuzma,28,WAS,2023-24
Baldwin Jr.,Kuzma,34,WAS,2023-24
Kuzma,Vukcevic,26,WAS,2023-24
Champagnie,Vukcevic,25,WAS,2023-24
Bagley III,Champagnie,18,WAS,2023-24
Bagley III,Gill,13,WAS,2023-24
Bagley III,Vukcevic,21,WAS,2023-24
Muscala,Omoruyi,11,WAS,2023-24
Avdija,Bernard,23,WAS,2023-24
Butler,Shamet,27,WAS,2023-24
Gallinari,Gill,7,WAS,2023-24
Omoruyi,Vukcevic,11,WAS,2023-24
Davis,Jones,23,WAS,2023-24
Davis,Gafford,9,WAS,2023-24
Avdija,Rollins,7,WAS,2023-24
Champagnie,Coulibaly,11,WAS,2023-24
Bernard,Poole,28,WAS,2023-24
Gill,Shamet,15,WAS,2023-24
Butler,Jones,9,WAS,2023-24
Davis,Muscala,12,WAS,2023-24
Bagley III,Bernard,15,WAS,2023-24
Poole,Rollins,4,WAS,2023-24
Kispert,Rollins,8,WAS,2023-24
Gill,Jones,11,WAS,2023-24
Gafford,Gill,6,WAS,2023-24
Holmes,Omoruyi,12,WAS,2023-24
Bernard,Holmes,10,WAS,2023-24
Gill,Wright,9,WAS,2023-24
Rollins,Wright,3,WAS,2023-24
Bernard,Vukcevic,10,WAS,2023-24
Muscala,Rollins,5,WAS,2023-24
Bernard,Kuzma,6,WAS,2023-24
Baldwin Jr.,Jones,6,WAS,2023-24
Diallo,Wright,3,WAS,2023-24
Bernard,Wright,4,WAS,2023-24
Baldwin Jr.,Diallo,4,WAS,2023-24
Bernard,Diallo,3,WAS,2023-24
Coulibaly,Diallo,3,WAS,2023-24
Gafford,Gallinari,2,WAS,2023-24
Gafford,Omoruyi,2,WAS,2023-24
Gafford,Muscala,2,WAS,2023-24
Holmes,Vukcevic,3,WAS,2023-24
Bernard,Jones,1,WAS,2023-24
Avdija,Diallo,1,WAS,2023-24
Holmes,Wright,1,WAS,2023-24
Diallo,Gill,1,WAS,2023-24
Davis,Diallo,1,WAS,2023-24
Gill,Jemison,2,WAS,2023-24
Davis,Jemison,1,WAS,2023-24
Baldwin Jr.,Jemison,2,WAS,2023-24
Bernard,Jemison,1,WAS,2023-24
Jemison,Shamet,1,WAS,2023-24
Coulibaly,Jemison,1,WAS,2023-24
Dunn,Markkanen,657,UTA,2023-24
Collins,Dunn,610,UTA,2023-24
Dunn,Sexton,722,UTA,2023-24
Dunn,Fontecchio,457,UTA,2023-24
Collins,Markkanen,1064,UTA,2023-24
Markkanen,Sexton,1073,UTA,2023-24
Fontecchio,Markkanen,685,UTA,2023-24
Collins,Sexton,1112,UTA,2023-24
Collins,Fontecchio,617,UTA,2023-24
Fontecchio,Sexton,738,UTA,2023-24
Agbaji,Kessler,426,UTA,2023-24
Agbaji,George,605,UTA,2023-24
Agbaji,Olynyk,477,UTA,2023-24
Agbaji,Clarkson,528,UTA,2023-24
George,Kessler,774,UTA,2023-24
Kessler,Olynyk,373,UTA,2023-24
Clarkson,Kessler,734,UTA,2023-24
George,Olynyk,488,UTA,2023-24
Clarkson,George,1005,UTA,2023-24
Clarkson,Olynyk,620,UTA,2023-24
Agbaji,Markkanen,338,UTA,2023-24
George,Markkanen,782,UTA,2023-24
Clarkson,Markkanen,896,UTA,2023-24
Agbaji,Collins,431,UTA,2023-24
Collins,George,1010,UTA,2023-24
Clarkson,Collins,974,UTA,2023-24
Hendricks,Markkanen,201,UTA,2023-24
Collins,Hendricks,310,UTA,2023-24
Hendricks,Sexton,476,UTA,2023-24
George,Sexton,723,UTA,2023-24
George,Hendricks,568,UTA,2023-24
Horton-Tucker,Markkanen,360,UTA,2023-24
Kessler,Markkanen,671,UTA,2023-24
Collins,Horton-Tucker,305,UTA,2023-24
Collins,Kessler,298,UTA,2023-24
Horton-Tucker,Kessler,456,UTA,2023-24
Clarkson,Horton-Tucker,325,UTA,2023-24
Fontecchio,Kessler,396,UTA,2023-24
Fontecchio,George,425,UTA,2023-24
Clarkson,Fontecchio,378,UTA,2023-24
Collins,Olynyk,431,UTA,2023-24
Clarkson,Sexton,532,UTA,2023-24
Markkanen,Olynyk,346,UTA,2023-24
Horton-Tucker,Sexton,439,UTA,2023-24
Olynyk,Sexton,503,UTA,2023-24
Fontecchio,Horton-Tucker,213,UTA,2023-24
Horton-Tucker,Olynyk,314,UTA,2023-24
Fontecchio,Olynyk,291,UTA,2023-24
Samanic,Yurtseven,186,UTA,2023-24
Juzang,Samanic,102,UTA,2023-24
Hendricks,Samanic,162,UTA,2023-24
George,Samanic,200,UTA,2023-24
Juzang,Yurtseven,151,UTA,2023-24
Hendricks,Yurtseven,186,UTA,2023-24
George,Yurtseven,308,UTA,2023-24
Hendricks,Juzang,140,UTA,2023-24
George,Juzang,184,UTA,2023-24
Dunn,Kessler,433,UTA,2023-24
Kessler,Sexton,697,UTA,2023-24
Agbaji,Sexton,297,UTA,2023-24
Agbaji,Horton-Tucker,239,UTA,2023-24
Collins,Yurtseven,102,UTA,2023-24
Agbaji,Yurtseven,131,UTA,2023-24
Fontecchio,Yurtseven,181,UTA,2023-24
Agbaji,Fontecchio,196,UTA,2023-24
Sexton,Yurtseven,202,UTA,2023-24
Sensabaugh,Sexton,297,UTA,2023-24
Sensabaugh,Yurtseven,132,UTA,2023-24
Hendricks,Sensabaugh,253,UTA,2023-24
George,Sensabaugh,293,UTA,2023-24
Collins,Sensabaugh,184,UTA,2023-24
Dunn,Sensabaugh,154,UTA,2023-24
Clarkson,Dunn,304,UTA,2023-24
Markkanen,Sensabaugh,84,UTA,2023-24
Kessler,Sensabaugh,194,UTA,2023-24
Clarkson,Sensabaugh,119,UTA,2023-24
Clarkson,Yurtseven,65,UTA,2023-24
Dunn,Olynyk,153,UTA,2023-24
Hendricks,Kessler,262,UTA,2023-24
Dunn,Hendricks,290,UTA,2023-24
Dunn,George,318,UTA,2023-24
Dunn,Horton-Tucker,214,UTA,2023-24
Hendricks,Horton-Tucker,175,UTA,2023-24
Dunn,Yurtseven,156,UTA,2023-24
Collins,Juzang,59,UTA,2023-24
Juzang,Sexton,153,UTA,2023-24
Collins,Samanic,68,UTA,2023-24
Samanic,Sexton,144,UTA,2023-24
Samanic,Sensabaugh,125,UTA,2023-24
Dunn,Samanic,127,UTA,2023-24
Clarkson,Hendricks,130,UTA,2023-24
Fontecchio,Samanic,28,UTA,2023-24
Dunn,Juzang,89,UTA,2023-24
Horton-Tucker,Yurtseven,160,UTA,2023-24
Horton-Tucker,Juzang,112,UTA,2023-24
Clarkson,Juzang,51,UTA,2023-24
Potter,Sexton,78,UTA,2023-24
Horton-Tucker,Potter,50,UTA,2023-24
Juzang,Potter,107,UTA,2023-24
Juzang,Kessler,84,UTA,2023-24
Kessler,Potter,85,UTA,2023-24
Lewis Jr.,Samanic,43,UTA,2023-24
Lewis Jr.,Yurtseven,42,UTA,2023-24
Hendricks,Lewis Jr.,35,UTA,2023-24
Lewis Jr.,Sensabaugh,76,UTA,2023-24
Horton-Tucker,Samanic,144,UTA,2023-24
George,Horton-Tucker,214,UTA,2023-24
Agbaji,Samanic,60,UTA,2023-24
Lewis Jr.,Sexton,40,UTA,2023-24
Lewis Jr.,Potter,56,UTA,2023-24
Kessler,Lewis Jr.,35,UTA,2023-24
Potter,Sensabaugh,66,UTA,2023-24
Agbaji,Dunn,183,UTA,2023-24
Agbaji,Hendricks,94,UTA,2023-24
Bazley,Horton-Tucker,83,UTA,2023-24
Bazley,Preston,36,UTA,2023-24
Bazley,Lofton Jr.,57,UTA,2023-24
Bazley,Sensabaugh,76,UTA,2023-24
Horton-Tucker,Preston,46,UTA,2023-24
Horton-Tucker,Lofton Jr.,68,UTA,2023-24
Horton-Tucker,Sensabaugh,116,UTA,2023-24
Lofton Jr.,Preston,25,UTA,2023-24
Preston,Sensabaugh,24,UTA,2023-24
Lofton Jr.,Sensabaugh,57,UTA,2023-24
Olynyk,Yurtseven,28,UTA,2023-24
Bazley,Juzang,86,UTA,2023-24
Juzang,Preston,46,UTA,2023-24
Juzang,Lofton Jr.,27,UTA,2023-24
Lewis Jr.,Lofton Jr.,16,UTA,2023-24
Lofton Jr.,Potter,23,UTA,2023-24
Hendricks,Potter,32,UTA,2023-24
Hendricks,Lofton Jr.,26,UTA,2023-24
Lofton Jr.,Samanic,31,UTA,2023-24
George,Lofton Jr.,34,UTA,2023-24
Bazley,Sexton,28,UTA,2023-24
Bazley,Lewis Jr.,23,UTA,2023-24
Bazley,Potter,39,UTA,2023-24
Juzang,Lewis Jr.,21,UTA,2023-24
Bazley,Samanic,32,UTA,2023-24
Hendricks,Olynyk,28,UTA,2023-24
Juzang,Sensabaugh,76,UTA,2023-24
Kessler,Samanic,59,UTA,2023-24
Lewis Jr.,Markkanen,10,UTA,2023-24
Markkanen,Yurtseven,47,UTA,2023-24
Dunn,Lewis Jr.,22,UTA,2023-24
George,Lewis Jr.,29,UTA,2023-24
Dunn,Potter,53,UTA,2023-24
Olynyk,Samanic,16,UTA,2023-24
Preston,Sexton,14,UTA,2023-24
Preston,Yurtseven,20,UTA,2023-24
Potter,Yurtseven,37,UTA,2023-24
Potter,Preston,15,UTA,2023-24
Bazley,George,45,UTA,2023-24
George,Potter,66,UTA,2023-24
Bazley,Hendricks,12,UTA,2023-24
Horton-Tucker,Lewis Jr.,11,UTA,2023-24
Clarkson,Samanic,46,UTA,2023-24
Kessler,Preston,15,UTA,2023-24
Potter,Samanic,12,UTA,2023-24
Bazley,Yurtseven,34,UTA,2023-24
Fontecchio,Hendricks,21,UTA,2023-24
Bazley,Dunn,21,UTA,2023-24
Dunn,Preston,9,UTA,2023-24
Clarkson,Potter,13,UTA,2023-24
Preston,Samanic,10,UTA,2023-24
Lewis Jr.,Preston,4,UTA,2023-24
Hendricks,Preston,15,UTA,2023-24
Markkanen,Samanic,9,UTA,2023-24
Juzang,Markkanen,16,UTA,2023-24
Agbaji,Potter,3,UTA,2023-24
Markkanen,Potter,5,UTA,2023-24
Fontecchio,Sensabaugh,2,UTA,2023-24
Collins,Potter,4,UTA,2023-24
George,Preston,1,UTA,2023-24
Collins,Lewis Jr.,1,UTA,2023-24
Poeltl,Siakam,868,TOR,2023-24
Anunoby,Poeltl,577,TOR,2023-24
Barnes,Poeltl,903,TOR,2023-24
Poeltl,Schroder,830,TOR,2023-24
Anunoby,Siakam,719,TOR,2023-24
Barnes,Siakam,949,TOR,2023-24
Schroder,Siakam,1042,TOR,2023-24
Anunoby,Barnes,665,TOR,2023-24
Anunoby,Schroder,672,TOR,2023-24
Barnes,Schroder,1038,TOR,2023-24
Poeltl,Trent Jr.,646,TOR,2023-24
Barrett,Poeltl,336,TOR,2023-24
Poeltl,Quickley,421,TOR,2023-24
Barrett,Trent Jr.,594,TOR,2023-24
Quickley,Trent Jr.,741,TOR,2023-24
Barnes,Trent Jr.,1002,TOR,2023-24
Barrett,Quickley,760,TOR,2023-24
Barnes,Barrett,534,TOR,2023-24
Barnes,Quickley,587,TOR,2023-24
Siakam,Trent Jr.,581,TOR,2023-24
Anunoby,Trent Jr.,336,TOR,2023-24
Schroder,Trent Jr.,651,TOR,2023-24
Agbaji,Trent Jr.,345,TOR,2023-24
Olynyk,Trent Jr.,461,TOR,2023-24
Agbaji,Barrett,159,TOR,2023-24
Barrett,Olynyk,264,TOR,2023-24
Agbaji,Quickley,279,TOR,2023-24
Olynyk,Quickley,355,TOR,2023-24
Agbaji,Olynyk,441,TOR,2023-24
Dick,Trent Jr.,437,TOR,2023-24
Dick,Quickley,378,TOR,2023-24
Agbaji,Dick,348,TOR,2023-24
Dick,Olynyk,475,TOR,2023-24
Agbaji,Brown,240,TOR,2023-24
Barnes,Brown,308,TOR,2023-24
Brown,Dick,456,TOR,2023-24
Brown,Olynyk,330,TOR,2023-24
Agbaji,Barnes,73,TOR,2023-24
Barnes,Dick,322,TOR,2023-24
Barnes,Olynyk,96,TOR,2023-24
Barrett,Siakam,157,TOR,2023-24
Quickley,Siakam,181,TOR,2023-24
Achiuwa,Siakam,203,TOR,2023-24
Flynn,Siakam,173,TOR,2023-24
Achiuwa,Trent Jr.,263,TOR,2023-24
Flynn,Trent Jr.,266,TOR,2023-24
Achiuwa,Flynn,263,TOR,2023-24
Achiuwa,Barnes,309,TOR,2023-24
Barnes,Flynn,327,TOR,2023-24
Freeman-Liberty,Trent Jr.,166,TOR,2023-24
Agbaji,Freeman-Liberty,167,TOR,2023-24
Dick,Freeman-Liberty,213,TOR,2023-24
Freeman-Liberty,Olynyk,185,TOR,2023-24
Barrett,Dick,255,TOR,2023-24
Porter,Trent Jr.,128,TOR,2023-24
Barrett,Porter,135,TOR,2023-24
Porter,Quickley,141,TOR,2023-24
Barnes,Porter,124,TOR,2023-24
Barrett,Brown,218,TOR,2023-24
Brown,Quickley,246,TOR,2023-24
Brown,Trent Jr.,334,TOR,2023-24
Brown,Young,120,TOR,2023-24
Brown,Schroder,160,TOR,2023-24
Trent Jr.,Young,153,TOR,2023-24
Barnes,Young,242,TOR,2023-24
Schroder,Young,190,TOR,2023-24
Boucher,Trent Jr.,257,TOR,2023-24
Achiuwa,Boucher,174,TOR,2023-24
Boucher,Flynn,236,TOR,2023-24
Barnes,Boucher,405,TOR,2023-24
Barrett,Young,155,TOR,2023-24
Quickley,Young,148,TOR,2023-24
Siakam,Young,49,TOR,2023-24
Boucher,Dick,220,TOR,2023-24
Achiuwa,Dick,80,TOR,2023-24
Dick,Flynn,124,TOR,2023-24
Dick,Poeltl,155,TOR,2023-24
Dick,Siakam,102,TOR,2023-24
Dick,Schroder,198,TOR,2023-24
Brown,Poeltl,95,TOR,2023-24
Brown,Freeman-Liberty,129,TOR,2023-24
Quickley,Williams,49,TOR,2023-24
Quickley,Temple,63,TOR,2023-24
Agbaji,Williams,46,TOR,2023-24
Agbaji,Temple,53,TOR,2023-24
Dick,Williams,64,TOR,2023-24
Dick,Temple,169,TOR,2023-24
Temple,Williams,64,TOR,2023-24
Achiuwa,Anunoby,135,TOR,2023-24
Anunoby,Flynn,146,TOR,2023-24
Barrett,Schroder,245,TOR,2023-24
Quickley,Schroder,194,TOR,2023-24
Achiuwa,Schroder,147,TOR,2023-24
Anunoby,Boucher,141,TOR,2023-24
Dick,Young,95,TOR,2023-24
Boucher,Poeltl,94,TOR,2023-24
Boucher,Siakam,131,TOR,2023-24
Boucher,Schroder,284,TOR,2023-24
Porter Jr.,Siakam,87,TOR,2023-24
Anunoby,Porter Jr.,53,TOR,2023-24
Barnes,Porter Jr.,112,TOR,2023-24
Porter Jr.,Schroder,96,TOR,2023-24
Anunoby,McDaniels,48,TOR,2023-24
Boucher,McDaniels,150,TOR,2023-24
Flynn,McDaniels,99,TOR,2023-24
Barnes,McDaniels,138,TOR,2023-24
Barrett,Boucher,120,TOR,2023-24
McDaniels,Quickley,62,TOR,2023-24
Dick,McDaniels,171,TOR,2023-24
McDaniels,Williams,43,TOR,2023-24
McDaniels,Temple,147,TOR,2023-24
Barrett,Freeman-Liberty,74,TOR,2023-24
McDaniels,Trent Jr.,113,TOR,2023-24
Achiuwa,McDaniels,68,TOR,2023-24
Porter,Siakam,51,TOR,2023-24
Poeltl,Porter Jr.,44,TOR,2023-24
Brown,Porter,105,TOR,2023-24
Brown,Nwora,175,TOR,2023-24
Nwora,Porter,120,TOR,2023-24
Dick,Porter,117,TOR,2023-24
Barnes,Nwora,62,TOR,2023-24
Dick,Nwora,244,TOR,2023-24
McDaniels,Nwora,188,TOR,2023-24
Freeman-Liberty,McDaniels,76,TOR,2023-24
Gueye,McDaniels,48,TOR,2023-24
Freeman-Liberty,Nwora,143,TOR,2023-24
Gueye,Nwora,93,TOR,2023-24
Nwora,Temple,147,TOR,2023-24
Freeman-Liberty,Gueye,63,TOR,2023-24
Freeman-Liberty,Temple,87,TOR,2023-24
Gueye,Temple,55,TOR,2023-24
Nwora,Trent Jr.,82,TOR,2023-24
Nwora,Olynyk,88,TOR,2023-24
Agbaji,Poeltl,25,TOR,2023-24
Boucher,Nwora,54,TOR,2023-24
Boucher,Temple,40,TOR,2023-24
Boucher,Quickley,106,TOR,2023-24
Achiuwa,Poeltl,11,TOR,2023-24
Porter Jr.,Trent Jr.,66,TOR,2023-24
Achiuwa,Porter Jr.,46,TOR,2023-24
Flynn,Porter Jr.,56,TOR,2023-24
McDaniels,Siakam,51,TOR,2023-24
McDaniels,Schroder,101,TOR,2023-24
Boucher,Porter,65,TOR,2023-24
Porter,Schroder,97,TOR,2023-24
Flynn,Poeltl,72,TOR,2023-24
Flynn,Schroder,52,TOR,2023-24
Nwora,Poeltl,23,TOR,2023-24
Nwora,Quickley,87,TOR,2023-24
Ramsey,Trent Jr.,26,TOR,2023-24
Agbaji,Ramsey,34,TOR,2023-24
Dick,Ramsey,51,TOR,2023-24
Olynyk,Ramsey,35,TOR,2023-24
Barrett,Nwora,61,TOR,2023-24
Barrett,Carton,16,TOR,2023-24
Carton,Nwora,27,TOR,2023-24
Carton,Dick,23,TOR,2023-24
Carton,Olynyk,13,TOR,2023-24
McDaniels,Simmons,33,TOR,2023-24
Nwora,Simmons,54,TOR,2023-24
Gueye,Simmons,34,TOR,2023-24
Simmons,Temple,47,TOR,2023-24
Boucher,Porter Jr.,45,TOR,2023-24
Barrett,McDaniels,43,TOR,2023-24
Brown,Ramsey,52,TOR,2023-24
Porter,Ramsey,63,TOR,2023-24
Nwora,Ramsey,70,TOR,2023-24
Brown,Williams,41,TOR,2023-24
Barrett,Williams,20,TOR,2023-24
Freeman-Liberty,Williams,42,TOR,2023-24
Olynyk,Poeltl,9,TOR,2023-24
Boucher,Young,47,TOR,2023-24
Temple,Trent Jr.,25,TOR,2023-24
Olynyk,Temple,21,TOR,2023-24
Brown,Simmons,23,TOR,2023-24
Dick,Simmons,31,TOR,2023-24
Brown,Temple,77,TOR,2023-24
Dick,Gueye,44,TOR,2023-24
Freeman-Liberty,Simmons,8,TOR,2023-24
Anunoby,Dick,36,TOR,2023-24
Agbaji,McDaniels,41,TOR,2023-24
Agbaji,Nwora,82,TOR,2023-24
Boucher,Freeman-Liberty,24,TOR,2023-24
Freeman-Liberty,Quickley,41,TOR,2023-24
Boucher,Brown,48,TOR,2023-24
Nwora,Schroder,49,TOR,2023-24
McDaniels,Porter,66,TOR,2023-24
Porter,Temple,34,TOR,2023-24
Brown,McDaniels,87,TOR,2023-24
McDaniels,Olynyk,37,TOR,2023-24
McDaniels,Poeltl,41,TOR,2023-24
McDaniels,Ramsey,32,TOR,2023-24
Agbaji,Porter,45,TOR,2023-24
McDaniels,Young,44,TOR,2023-24
Nwora,Young,32,TOR,2023-24
Temple,Young,23,TOR,2023-24
Carton,Porter,10,TOR,2023-24
Boucher,Olynyk,16,TOR,2023-24
Gueye,Quickley,13,TOR,2023-24
Trent Jr.,Williams,14,TOR,2023-24
Freeman-Liberty,Porter,28,TOR,2023-24
Freeman-Liberty,Ramsey,23,TOR,2023-24
Agbaji,Gueye,18,TOR,2023-24
McDaniels,Porter Jr.,29,TOR,2023-24
Brown,Gueye,19,TOR,2023-24
Quickley,Ramsey,18,TOR,2023-24
Flynn,Young,14,TOR,2023-24
Flynn,Temple,12,TOR,2023-24
Achiuwa,Young,5,TOR,2023-24
Simmons,Trent Jr.,9,TOR,2023-24
Olynyk,Simmons,5,TOR,2023-24
Poeltl,Young,4,TOR,2023-24
Gueye,Ramsey,16,TOR,2023-24
Schroder,Temple,6,TOR,2023-24
Dick,Porter Jr.,20,TOR,2023-24
Agbaji,Boucher,8,TOR,2023-24
Boucher,Carton,7,TOR,2023-24
Carton,McDaniels,4,TOR,2023-24
Agbaji,Carton,4,TOR,2023-24
Nwora,Williams,27,TOR,2023-24
Ramsey,Temple,11,TOR,2023-24
Porter Jr.,Temple,7,TOR,2023-24
Boucher,Harper Jr.,4,TOR,2023-24
Harper Jr.,McDaniels,4,TOR,2023-24
Flynn,Harper Jr.,4,TOR,2023-24
Dick,Harper Jr.,4,TOR,2023-24
Gueye,Porter,10,TOR,2023-24
McDaniels,Nowell,4,TOR,2023-24
Dick,Nowell,4,TOR,2023-24
Nowell,Young,4,TOR,2023-24
Nowell,Temple,4,TOR,2023-24
Porter Jr.,Young,3,TOR,2023-24
Olynyk,Porter,9,TOR,2023-24
Carton,Ramsey,5,TOR,2023-24
Carton,Freeman-Liberty,7,TOR,2023-24
Carton,Gueye,3,TOR,2023-24
Barrett,Temple,16,TOR,2023-24
Brown,Carton,5,TOR,2023-24
Porter,Young,4,TOR,2023-24
Barrett,Gueye,2,TOR,2023-24
Gueye,Trent Jr.,8,TOR,2023-24
Gueye,Williams,2,TOR,2023-24
Carton,Poeltl,2,TOR,2023-24
Carton,Quickley,2,TOR,2023-24
Jones,Vassell,1307,SAS,2023-24
Champagnie,Vassell,767,SAS,2023-24
Sochan,Vassell,1649,SAS,2023-24
Vassell,Wembanyama,1221,SAS,2023-24
Champagnie,Jones,957,SAS,2023-24
Jones,Sochan,1155,SAS,2023-24
Jones,Wembanyama,1286,SAS,2023-24
Champagnie,Sochan,807,SAS,2023-24
Champagnie,Wembanyama,889,SAS,2023-24
Sochan,Wembanyama,1246,SAS,2023-24
