Player1,Player2,SharedMinutes,Team,Season
Jones,Kuzma,1739,WAS,2023-24
Gafford,Jones,1072,WAS,2023-24
Jones,Poole,1322,WAS,2023-24
Avdija,Jones,1206,WAS,2023-24
Gafford,Kuzma,1084,WAS,2023-24
Kuzma,Poole,1558,WAS,2023-24
Avdija,Kuzma,1284,WAS,2023-24
Gafford,Poole,912,WAS,2023-24
Avdija,Gafford,771,WAS,2023-24
Avdija,Poole,1459,WAS,2023-24
Coulibaly,Jones,847,WAS,2023-24
Coulibaly,Kuzma,955,WAS,2023-24
Coulibaly,Gafford,414,WAS,2023-24
Coulibaly,Poole,716,WAS,2023-24
Avdija,Coulibaly,688,WAS,2023-24
Jones,Kispert,598,WAS,2023-24
Kispert,Kuzma,882,WAS,2023-24
Avdija,Kispert,1079,WAS,2023-24
Coulibaly,Kispert,956,WAS,2023-24
Gafford,Kispert,306,WAS,2023-24
Bagley III,Jones,298,WAS,2023-24
Bagley III,Kuzma,328,WAS,2023-24
Bagley III,Poole,325,WAS,2023-24
Avdija,Bagley III,310,WAS,2023-24
Holmes,Kuzma,169,WAS,2023-24
Holmes,Poole,260,WAS,2023-24
Avdija,Holmes,131,WAS,2023-24
Holmes,Kispert,227,WAS,2023-24
Kispert,Poole,967,WAS,2023-24
Avdija,Wright,207,WAS,2023-24
Kispert,Wright,363,WAS,2023-24
Coulibaly,Wright,331,WAS,2023-24
Muscala,Wright,108,WAS,2023-24
Avdija,Muscala,157,WAS,2023-24
Kispert,Muscala,231,WAS,2023-24
Coulibaly,Muscala,246,WAS,2023-24
Bagley III,Wright,81,WAS,2023-24
Shamet,Wright,186,WAS,2023-24
Bagley III,Shamet,184,WAS,2023-24
Bagley III,Kispert,295,WAS,2023-24
Bagley III,Coulibaly,209,WAS,2023-24
Kispert,Shamet,416,WAS,2023-24
Coulibaly,Shamet,354,WAS,2023-24
Jones,Muscala,103,WAS,2023-24
Kuzma,Muscala,114,WAS,2023-24
Muscala,Poole,148,WAS,2023-24
Avdija,Shamet,304,WAS,2023-24
Gallinari,Shamet,134,WAS,2023-24
Avdija,Gallinari,184,WAS,2023-24
Gallinari,Kispert,305,WAS,2023-24
Coulibaly,Gallinari,276,WAS,2023-24
Butler,Gill,215,WAS,2023-24
Butler,Omoruyi,189,WAS,2023-24
Butler,Davis,182,WAS,2023-24
Butler,Coulibaly,134,WAS,2023-24
Gill,Omoruyi,113,WAS,2023-24
Davis,Gill,205,WAS,2023-24
Coulibaly,Gill,141,WAS,2023-24
